2022-10-11 06:15:31 status half-configured linux-azure-5.15-headers-5.15.0-1020:all 5.15.0-1020.25~20.04.1
2022-10-11 06:15:31 status half-installed linux-azure-5.15-headers-5.15.0-1020:all 5.15.0-1020.25~20.04.1
2022-10-11 06:15:32 status config-files linux-azure-5.15-headers-5.15.0-1020:all 5.15.0-1020.25~20.04.1
2022-10-11 06:15:32 status not-installed linux-azure-5.15-headers-5.15.0-1020:all <none>
2022-10-11 06:15:32 startup packages configure
2022-10-11 06:15:34 startup packages remove
2022-10-11 06:15:34 status installed linux-image-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:34 remove linux-image-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1 <none>
2022-10-11 06:15:34 status half-configured linux-image-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:34 status half-installed linux-image-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:37 status config-files linux-image-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:37 status installed linux-modules-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:37 remove linux-modules-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1 <none>
2022-10-11 06:15:37 status half-configured linux-modules-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:37 status half-installed linux-modules-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:37 status config-files linux-modules-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:37 startup packages configure
2022-10-11 06:15:39 startup packages remove
2022-10-11 06:15:39 status installed linux-tools-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:39 remove linux-tools-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1 <none>
2022-10-11 06:15:39 status half-configured linux-tools-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:39 status half-installed linux-tools-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:39 status config-files linux-tools-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:40 status not-installed linux-tools-5.15.0-1020-azure:amd64 <none>
2022-10-11 06:15:40 status installed linux-azure-5.15-tools-5.15.0-1020:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:40 remove linux-azure-5.15-tools-5.15.0-1020:amd64 5.15.0-1020.25~20.04.1 <none>
2022-10-11 06:15:40 status half-configured linux-azure-5.15-tools-5.15.0-1020:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:40 status half-installed linux-azure-5.15-tools-5.15.0-1020:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:40 status config-files linux-azure-5.15-tools-5.15.0-1020:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:40 status not-installed linux-azure-5.15-tools-5.15.0-1020:amd64 <none>
2022-10-11 06:15:40 startup packages configure
2022-10-11 06:15:42 startup packages remove
2022-10-11 06:15:42 status installed linux-cloud-tools-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
